"","date","rec_group_adjusted_new","individuals_at_receiver","total_individuals","proportion","avg_depth"
"341",2022-01-29,"West End",12,16,75,3.69728265682994
"342",2022-01-30,"Bayfront area",1,16,6.25,1.66054934036939
"343",2022-01-30,"Carrolls Bay",1,16,6.25,1.2412064516129
"344",2022-01-30,"Central",1,16,6.25,NA
"345",2022-01-30,"West End",13,16,81.25,3.55657008801896
"346",2022-01-31,"Bayfront area",1,16,6.25,1.54883736263736
"347",2022-01-31,"Carrolls Bay",1,16,6.25,1.1724406374502
"348",2022-01-31,"Central",1,16,6.25,NA
"349",2022-01-31,"West End",13,16,81.25,4.16760240709196
"350",2022-02-01,"Bayfront area",1,16,6.25,1.50546187845304
"351",2022-02-01,"Carrolls Bay",2,16,12.5,1.69243407637139
"352",2022-02-01,"Central",1,16,6.25,NA
"353",2022-02-01,"West End",12,16,75,4.25935592242234
"354",2022-02-02,"Bayfront area",1,16,6.25,1.46994928774929
"355",2022-02-02,"Carrolls Bay",1,16,6.25,1.20171452991453
"356",2022-02-02,"Central",1,16,6.25,NA
"357",2022-02-02,"West End",13,16,81.25,3.97682169367381
"358",2022-02-03,"Bayfront area",1,16,6.25,1.47970029673591
"359",2022-02-03,"Carrolls Bay",1,16,6.25,1.25350332103321
"360",2022-02-03,"Central",1,16,6.25,NA
"361",2022-02-03,"West End",13,16,81.25,3.93709941375809
"362",2022-02-04,"Bayfront area",2,16,12.5,1.02353657615112
"363",2022-02-04,"Carrolls Bay",1,16,6.25,1.215032
"364",2022-02-04,"Central",1,16,6.25,NA
"365",2022-02-04,"West End",12,16,75,4.11033636405084
"366",2022-02-05,"Bayfront area",1,16,6.25,1.3617324099723
"367",2022-02-05,"Carrolls Bay",1,16,6.25,1.21641596244131
"368",2022-02-05,"Central",1,16,6.25,NA
"369",2022-02-05,"West End",13,16,81.25,3.77305362007145
"370",2022-02-06,"Bayfront area",1,16,6.25,1.27448131868132
"371",2022-02-06,"Carrolls Bay",1,16,6.25,1.1771312
"372",2022-02-06,"Central",2,16,12.5,0.708828571428571
"373",2022-02-06,"West End",12,16,75,3.57914646701405
"374",2022-02-07,"Bayfront area",1,16,6.25,1.28940867208672
"375",2022-02-07,"Carrolls Bay",2,16,12.5,1.36022134827574
"376",2022-02-07,"Central",2,16,12.5,0.600784447476126
"377",2022-02-07,"West End",11,16,68.75,3.42337275925559
"378",2022-02-08,"Bayfront area",2,16,12.5,3.76475517818704
"379",2022-02-08,"Carrolls Bay",2,16,12.5,1.08876337285903
"380",2022-02-08,"Central",1,16,6.25,0.456065284974093
"381",2022-02-08,"West End",11,16,68.75,3.3612101825555
"382",2022-02-09,"Bayfront area",1,16,6.25,1.25151612903226
"383",2022-02-09,"Carrolls Bay",2,16,12.5,1.09455951947579
"384",2022-02-09,"East End",1,16,6.25,3.30789609984399
"385",2022-02-09,"West End",12,16,75,3.54565520879883
"386",2022-02-10,"Bayfront area",1,16,6.25,1.20258794520548
"387",2022-02-10,"Carrolls Bay",2,16,12.5,1.0508763369489
"388",2022-02-10,"East End",1,16,6.25,4.90226765327696
"389",2022-02-10,"West End",12,16,75,3.49880577344821
"390",2022-02-11,"Bayfront area",1,16,6.25,1.20340213903743
"391",2022-02-11,"Carrolls Bay",2,16,12.5,1.06821739130435
"392",2022-02-11,"East End",1,16,6.25,3.5583947826087
"393",2022-02-11,"West End",12,16,75,3.3109685483985
"394",2022-02-12,"Bayfront area",1,16,6.25,1.18662993197279
"395",2022-02-12,"Carrolls Bay",2,16,12.5,1.04495101200686
"396",2022-02-12,"East End",1,16,6.25,5.25629390018484
"397",2022-02-12,"West End",12,16,75,3.12540256128693
"398",2022-02-13,"Bayfront area",2,16,12.5,1.27918853717531
"399",2022-02-13,"Carrolls Bay",3,16,18.75,1.18061571264785
"400",2022-02-13,"North shore",1,16,6.25,1.23757061611374
"401",2022-02-13,"West End",10,16,62.5,3.08380105869639
"402",2022-02-14,"Bayfront area",2,16,12.5,1.24088982327003
"403",2022-02-14,"Carrolls Bay",3,16,18.75,1.12462627851325
"404",2022-02-14,"North shore",1,16,6.25,0.927363076923077
"405",2022-02-14,"West End",10,16,62.5,3.05487865487577
"406",2022-02-15,"Bayfront area",2,16,12.5,1.1437301472071
"407",2022-02-15,"Carrolls Bay",3,16,18.75,1.11851997273134
"408",2022-02-15,"North shore",1,16,6.25,1.09867323943662
"409",2022-02-15,"West End",10,16,62.5,2.96068339315546
"410",2022-02-16,"Bayfront area",2,16,12.5,1.17895815134586
"411",2022-02-16,"Carrolls Bay",4,16,25,1.08824181790726
"412",2022-02-16,"North shore",1,16,6.25,0.895723444976077
"413",2022-02-16,"West End",9,16,56.25,3.0634204031464
"414",2022-02-17,"Bayfront area",2,16,12.5,1.16101323543196
"415",2022-02-17,"Carrolls Bay",4,16,25,1.12289673383459
"416",2022-02-17,"North shore",1,16,6.25,0.872042673521851
"417",2022-02-17,"West End",9,16,56.25,2.99569591594675
"418",2022-02-18,"Bayfront area",2,16,12.5,1.15420202428544
"419",2022-02-18,"Carrolls Bay",4,16,25,1.13401515887279
"420",2022-02-18,"North shore",1,16,6.25,0.827
"421",2022-02-18,"West End",9,16,56.25,2.97432021753676
"422",2022-02-19,"Bayfront area",2,16,12.5,1.03865028213166
"423",2022-02-19,"Carrolls Bay",4,16,25,1.05370102302154
"424",2022-02-19,"North shore",1,16,6.25,0.7373616
"425",2022-02-19,"West End",9,16,56.25,3.05629130569634
"426",2022-02-20,"Bayfront area",4,16,25,1.3995880415486
"427",2022-02-20,"Carrolls Bay",5,16,31.25,0.98234497160332
