Longitude (x),Latitude (y),Station Name,Climate ID,Date_Time,Year,Month,Day,Time,Flag,Temp ,Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-79.91,43.29,HAMILTON RBG CS,6153301,4/6/2025 17:00,2025,4,6,17:00,,7.1,,-8.6,,32,,0,,30,,7,,,,100.33,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/6/2025 18:00,2025,4,6,18:00,,6.3,,-9.3,,32,,0,,33,,7,,,,100.31,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/6/2025 19:00,2025,4,6,19:00,,5.2,,-9.4,,34,,0,,33,,6,,,,100.34,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/6/2025 20:00,2025,4,6,20:00,,4.5,,-9.9,,34,,0,,34,,7,,,,100.4,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/6/2025 21:00,2025,4,6,21:00,,3.8,,-10,,36,,0,,35,,5,,,,100.3,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/6/2025 22:00,2025,4,6,22:00,,2.3,,-9.6,,41,,0,,2,,3,,,,100.24,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/6/2025 23:00,2025,4,6,23:00,,0.8,,-7,,56,,0,,27,,3,,,,100.21,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/7/2025 0:00,2025,4,7,0:00,,1.2,,-6.8,,55,,0,,,,0,,,,100.25,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/7/2025 1:00,2025,4,7,1:00,,0.6,,-6.3,,60,,0,,,,0,,,,100.17,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/7/2025 2:00,2025,4,7,2:00,,-0.4,,-5.9,,66,,0,,,,0,,,,100.04,,,,,,NA
