"","station","glatos_array","station_no","consecutive_deploy_no","intend_lat","intend_long","deploy_lat","deploy_long","recover_lat","recover_long","deploy_date_time","recover_date_time","bottom_depth","riser_length","instrument_depth","ins_model_no","glatos_ins_frequency","ins_serial_no","code_map","code_map_comment","deployed_by","comments","glatos_seasonal","glatos_project","glatos_vps"
"95","HAM-018","HAM","18",4,NA,NA,43.27271,-79.87815,NA,NA,2017-04-10 15:46:00,2017-10-23 14:20:00,5.8,NA,NA,"VR2W",69,127840,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"96","HAM-037","HAM","37",2,NA,NA,43.27884,-79.88618,NA,NA,2017-04-10 16:45:00,2017-10-23 13:45:00,5.2,NA,NA,"VR2W",69,129325,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"97","HAM-025","HAM","25",4,NA,NA,43.30976,-79.81139,NA,NA,2017-04-11 14:09:00,2017-10-27 15:18:00,5.7,NA,NA,"VR2W",69,127843,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"98","HAM-014","HAM","14",4,NA,NA,43.28513,-79.875,NA,NA,2017-04-11 16:32:00,2017-10-23 14:53:00,7.5,NA,NA,"VR2W",69,126876,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"99","HAM-023","HAM","23",4,NA,NA,43.28515,-79.86784,NA,NA,2017-04-11 17:24:00,2017-10-23 15:20:00,NA,NA,NA,"VR2W",69,127834,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"100","HAM-012","HAM","12",4,NA,NA,43.30048,-79.80591,NA,NA,2017-04-12 14:00:00,2017-10-27 14:00:00,NA,NA,NA,"VR2W",69,127839,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"101","HAM-022","HAM","22",4,NA,NA,43.30178,-79.79097,NA,NA,2017-04-12 16:00:00,2017-10-26 13:00:00,NA,NA,NA,"VR2W",69,127842,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"102","HAM-028","HAM","28",4,NA,NA,43.27667,-79.88182,NA,NA,2017-04-13 15:05:00,2017-10-25 13:34:00,8.9,NA,NA,"VR2W",69,126878,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"103","HAM-005","HAM","5",4,NA,NA,43.28115,-79.8648,NA,NA,2017-04-13 16:06:00,2017-10-26 18:30:00,15.4,NA,NA,"VR2W",69,127849,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"104","HAM-007","HAM","7",4,NA,NA,43.30133,-79.83948,NA,NA,2017-04-13 16:53:00,2017-10-26 15:17:00,10.8,NA,NA,"VR2W",69,126879,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"105","HAM-006","HAM","6",4,NA,NA,43.30653,-79.80827,NA,NA,2017-04-13 17:24:00,2017-11-02 17:30:00,8.8,NA,NA,"VR2W",69,127850,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"106","HAM-003","HAM","3",4,NA,NA,43.29473,-79.8006,NA,NA,2017-04-18 14:45:00,2017-10-27 14:30:00,NA,NA,NA,"VR2W",69,127836,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"107","HAM-002","HAM","2",4,NA,NA,43.28639,-79.79694,NA,NA,2017-04-18 15:30:00,2017-11-01 17:00:00,NA,NA,NA,"VR2W",69,127833,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"108","HAM-034","HAM","34",3,NA,NA,43.27164,-79.80792,NA,NA,2017-04-19 13:45:00,2017-11-08 14:30:00,NA,NA,NA,"VR2W",69,121993,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"109","HAM-027","HAM","27",4,NA,NA,43.27917,-79.875,NA,NA,2017-04-26 15:45:00,2017-11-01 16:57:00,NA,NA,NA,"VR2W",69,127829,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"110","HAM-039","HAM","39",1,NA,NA,43.28162,-79.85109,NA,NA,2017-04-26 16:05:00,2017-10-26 15:59:00,NA,NA,NA,"VR2W",69,131524,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"111","HAM-017","HAM","17",4,NA,NA,43.29495,-79.82123,NA,NA,2017-04-26 16:51:00,2017-10-26 16:27:00,NA,NA,NA,"VR2W",69,127837,"MAP-113",NA,NA,NA,"No","HAMLO","No"
